#  Image points and templates which are picked by user (xi yi x0 y0 w h)
  2.312829949238578592e+03 ,   1.931223571428571404e+03 ,   2.294000000000000000e+03 ,   1.912000000000000000e+03 ,   3.800000000000000000e+01 ,   3.900000000000000000e+01
  2.318348648648648577e+03 ,   1.773274285714285725e+03 ,   2.300000000000000000e+03 ,   1.755000000000000000e+03 ,   3.700000000000000000e+01 ,   3.800000000000000000e+01
  2.319886731391585727e+03 ,   1.616514285714285734e+03 ,   2.302000000000000000e+03 ,   1.597000000000000000e+03 ,   3.700000000000000000e+01 ,   4.100000000000000000e+01
  2.327614503816793786e+03 ,   1.449574285714285679e+03 ,   2.309000000000000000e+03 ,   1.430000000000000000e+03 ,   3.800000000000000000e+01 ,   4.100000000000000000e+01
  2.326878839590443476e+03 ,   1.278204999999999927e+03 ,   2.309000000000000000e+03 ,   1.259000000000000000e+03 ,   3.600000000000000000e+01 ,   3.900000000000000000e+01
  2.393910119840213156e+03 ,   1.927673571428571449e+03 ,   2.374000000000000000e+03 ,   1.909000000000000000e+03 ,   4.000000000000000000e+01 ,   3.900000000000000000e+01
  2.400086826347305305e+03 ,   1.772783571428571349e+03 ,   2.377000000000000000e+03 ,   1.752000000000000000e+03 ,   4.700000000000000000e+01 ,   4.200000000000000000e+01
  2.405159685863874529e+03 ,   1.608531428571428478e+03 ,   2.383000000000000000e+03 ,   1.590000000000000000e+03 ,   4.500000000000000000e+01 ,   3.900000000000000000e+01
  2.410719817767653694e+03 ,   1.451197142857142808e+03 ,   2.394000000000000000e+03 ,   1.432000000000000000e+03 ,   3.400000000000000000e+01 ,   3.900000000000000000e+01
  2.410957142857143026e+03 ,   1.279614285714285643e+03 ,   2.393000000000000000e+03 ,   1.260000000000000000e+03 ,   3.600000000000000000e+01 ,   4.000000000000000000e+01
  2.489865994236311053e+03 ,   1.456665714285714330e+03 ,   2.468000000000000000e+03 ,   1.438000000000000000e+03 ,   4.600000000000000000e+01 ,   3.700000000000000000e+01
  2.497961300309597391e+03 ,   1.278534285714285716e+03 ,   2.481000000000000000e+03 ,   1.261000000000000000e+03 ,   3.500000000000000000e+01 ,   3.600000000000000000e+01
  2.655139103554868598e+03 ,   1.807204999999999927e+03 ,   2.635000000000000000e+03 ,   1.785000000000000000e+03 ,   4.100000000000000000e+01 ,   4.600000000000000000e+01
  2.656974889217134205e+03 ,   1.616827142857142917e+03 ,   2.636000000000000000e+03 ,   1.596000000000000000e+03 ,   4.300000000000000000e+01 ,   4.300000000000000000e+01
  2.656196428571428442e+03 ,   1.434946428571428669e+03 ,   2.635000000000000000e+03 ,   1.413000000000000000e+03 ,   4.300000000000000000e+01 ,   4.500000000000000000e+01
  2.663194237918215549e+03 ,   1.240717142857142790e+03 ,   2.643000000000000000e+03 ,   1.218000000000000000e+03 ,   4.100000000000000000e+01 ,   4.600000000000000000e+01
  2.732591417910447944e+03 ,   1.810494285714285752e+03 ,   2.708000000000000000e+03 ,   1.786000000000000000e+03 ,   5.100000000000000000e+01 ,   4.900000000000000000e+01
  2.736026234567901156e+03 ,   1.622382857142857119e+03 ,   2.716000000000000000e+03 ,   1.603000000000000000e+03 ,   4.200000000000000000e+01 ,   3.900000000000000000e+01
  2.739470588235294144e+03 ,   1.436661428571428587e+03 ,   2.718000000000000000e+03 ,   1.411000000000000000e+03 ,   4.300000000000000000e+01 ,   5.200000000000000000e+01
  2.743114443084455161e+03 ,   1.246125714285714366e+03 ,   2.723000000000000000e+03 ,   1.225000000000000000e+03 ,   4.100000000000000000e+01 ,   4.300000000000000000e+01
  2.479908450704225288e+03 ,   7.413999999999999773e+02 ,   2.462000000000000000e+03 ,   7.180000000000000000e+02 ,   3.700000000000000000e+01 ,   4.700000000000000000e+01
  2.482484491978609640e+03 ,   5.385692857142856838e+02 ,   2.460000000000000000e+03 ,   5.160000000000000000e+02 ,   4.500000000000000000e+01 ,   4.700000000000000000e+01
  2.483549019607843093e+03 ,   3.266814285714285688e+02 ,   2.461000000000000000e+03 ,   3.040000000000000000e+02 ,   4.600000000000000000e+01 ,   4.600000000000000000e+01
  2.487452413793103460e+03 ,   1.308428571428571558e+02 ,   2.466000000000000000e+03 ,   1.080000000000000000e+02 ,   4.400000000000000000e+01 ,   4.700000000000000000e+01
  2.714675000000000182e+03 ,   6.952549999999999955e+02 ,   2.690000000000000000e+03 ,   6.720000000000000000e+02 ,   5.000000000000000000e+01 ,   4.700000000000000000e+01
  2.721728017883755456e+03 ,   4.807785714285714107e+02 ,   2.696000000000000000e+03 ,   4.550000000000000000e+02 ,   5.200000000000000000e+01 ,   5.200000000000000000e+01
  2.725732858990944351e+03 ,   2.668571428571428896e+02 ,   2.701000000000000000e+03 ,   2.420000000000000000e+02 ,   5.000000000000000000e+01 ,   5.000000000000000000e+01
  2.732467251461988326e+03 ,   5.636785714285714732e+01 ,   2.707000000000000000e+03 ,   3.000000000000000000e+01 ,   5.100000000000000000e+01 ,   5.300000000000000000e+01
  1.839326781326781202e+03 ,   1.575319999999999936e+03 ,   1.785000000000000000e+03 ,   1.549000000000000000e+03 ,   1.080000000000000000e+02 ,   3.500000000000000000e+01
  6.915512820512821008e+02 ,   1.703980000000000018e+03 ,   6.560000000000000000e+02 ,   1.671000000000000000e+03 ,   7.300000000000000000e+01 ,   6.700000000000000000e+01
